	HB.var_c
0	2.20000000000000018E0
1	3.30000000000000027E0
2	4.40000000000000036E0
3	5.50000000000000000E0
4	6.59999999999999964E0
5	7.69999999999999929E0
6	8.79999999999999893E0
7	9.89999999999999858E0
8	1.09999999999999987E1
9	1.20999999999999974E1
10	1.31999999999999984E1
11	1.42999999999999972E1
12	1.53999999999999959E1
13	1.64999999999999969E1
14	1.75999999999999979E1
15	1.86999999999999988E1
16	1.97999999999999998E1
17	2.09000000000000030E1
18	2.20000000000000018E1
19	2.31000000000000050E1
20	2.42000000000000082E1
21	2.53000000000000069E1
22	2.64000000000000101E1
23	2.75000000000000089E1
24	2.86000000000000121E1
25	2.97000000000000153E1
26	3.08000000000000140E1
27	3.19000000000000172E1
28	3.30000000000000160E1
29	3.41000000000000147E1
30	3.52000000000000179E1
31	3.63000000000000167E1
32	3.74000000000000199E1
33	3.85000000000000231E1
34	3.96000000000000218E1
35	4.07000000000000206E1
36	4.18000000000000238E1
37	4.29000000000000270E1
38	4.40000000000000302E1
39	4.43999999999999950E1


var_c	harmindex	freq[0, ::]
1.20999999999999974E1	2	4.92958978938545123E9
1.20999999999999974E1	3	7.39438468407817862E9
1.20999999999999974E1	4	9.85917957877090245E9
1.20999999999999974E1	5	1.23239744734636281E10
1.20999999999999974E1	6	1.47887693681563581E10
1.20999999999999974E1	7	1.72535642628490860E10
1.20999999999999974E1	8	1.97183591575418049E10
1.20999999999999974E1	9	2.21831540522345394E10
1.20999999999999974E1	10	2.46479489469272561E10

var_c	harmindex	freq[10, ::]
1.31999999999999984E1	0	0.00000000000000000E0
1.31999999999999984E1	1	2.46375219604892859E9
1.31999999999999984E1	2	4.92750439209785718E9
1.31999999999999984E1	3	7.39125658814678665E9
1.31999999999999984E1	4	9.85500878419571436E9
1.31999999999999984E1	5	1.23187609802446407E10
1.31999999999999984E1	6	1.47825131762935724E10
1.31999999999999984E1	7	1.72462653723424952E10
1.31999999999999984E1	8	1.97100175683914292E10
1.31999999999999984E1	9	2.21737697644403564E10
1.31999999999999984E1	10	2.46375219604892814E10

var_c	harmindex	freq[11, ::]
1.42999999999999972E1	0	0.00000000000000000E0
1.42999999999999972E1	1	2.46286741974674595E9
1.42999999999999972E1	2	4.92573483949349189E9
1.42999999999999972E1	3	7.38860225924023695E9
1.42999999999999972E1	4	9.85146967898698378E9
1.42999999999999972E1	5	1.23143370987337297E10
1.42999999999999972E1	6	1.47772045184804734E10
1.42999999999999972E1	7	1.72400719382272238E10
1.42999999999999972E1	8	1.97029393579739676E10
1.42999999999999972E1	9	2.21658067777207091E10
1.42999999999999972E1	10	2.46286741974674595E10

var_c	harmindex	freq[12, ::]
1.53999999999999959E1	0	0.00000000000000000E0
1.53999999999999959E1	1	2.46210721241123531E9
1.53999999999999959E1	2	4.92421442482247063E9
1.53999999999999959E1	3	7.38632163723370461E9
1.53999999999999959E1	4	9.84842884964494125E9
1.53999999999999959E1	5	1.23105360620561766E10
1.53999999999999959E1	6	1.47726432744674097E10
1.53999999999999959E1	7	1.72347504868786428E10
1.53999999999999959E1	8	1.96968576992898825E10
1.53999999999999959E1	9	2.21589649117011112E10
1.53999999999999959E1	10	2.46210721241123531E10

var_c	harmindex	freq[13, ::]
1.64999999999999969E1	0	0.00000000000000000E0
1.64999999999999969E1	1	2.46144700129725758E9
1.64999999999999969E1	2	4.92289400259451515E9
1.64999999999999969E1	3	7.38434100389177139E9
1.64999999999999969E1	4	9.84578800518903030E9
1.64999999999999969E1	5	1.23072350064862879E10
1.64999999999999969E1	6	1.47686820077835423E10
1.64999999999999969E1	7	1.72301290090808057E10
1.64999999999999969E1	8	1.96915760103780602E10
1.64999999999999969E1	9	2.21530230116753213E10
1.64999999999999969E1	10	2.46144700129725758E10

var_c	harmindex	freq[14, ::]
1.75999999999999979E1	0	0.00000000000000000E0
1.75999999999999979E1	1	2.46086827186220969E9
1.75999999999999979E1	2	4.92173654372441938E9
1.75999999999999979E1	3	7.38260481558662995E9
1.75999999999999979E1	4	9.84347308744883875E9
1.75999999999999979E1	5	1.23043413593110484E10
1.75999999999999979E1	6	1.47652096311732595E10
1.75999999999999979E1	7	1.72260779030354660E10
1.75999999999999979E1	8	1.96869461748976771E10
1.75999999999999979E1	9	2.21478144467598881E10
1.75999999999999979E1	10	2.46086827186220969E10

var_c	harmindex	freq[15, ::]
1.86999999999999988E1	0	0.00000000000000000E0
1.86999999999999988E1	1	2.46035681661899774E9
1.86999999999999988E1	2	4.92071363323799549E9
1.86999999999999988E1	3	7.38107044985699368E9
1.86999999999999988E1	4	9.84142726647599098E9
1.86999999999999988E1	5	1.23017840830949887E10
1.86999999999999988E1	6	1.47621408997139869E10
1.86999999999999988E1	7	1.72224977163329784E10
1.86999999999999988E1	8	1.96828545329519811E10
1.86999999999999988E1	9	2.21432113495709748E10
1.86999999999999988E1	10	2.46035681661899774E10

var_c	harmindex	freq[16, ::]
1.97999999999999998E1	0	0.00000000000000000E0
1.97999999999999998E1	1	2.45990154963890895E9
1.97999999999999998E1	2	4.91980309927781789E9
1.97999999999999998E1	3	7.37970464891672862E9
1.97999999999999998E1	4	9.83960619855563579E9
1.97999999999999998E1	5	1.22995077481945447E10
1.97999999999999998E1	6	1.47594092978334568E10
1.97999999999999998E1	7	1.72193108474723644E10
1.97999999999999998E1	8	1.96792123971112720E10
1.97999999999999998E1	9	2.21391139467501841E10
1.97999999999999998E1	10	2.45990154963890895E10

var_c	harmindex	freq[17, ::]
2.09000000000000030E1	0	0.00000000000000000E0
2.09000000000000030E1	1	2.45949369389808448E9
2.09000000000000030E1	2	4.91898738779616895E9
2.09000000000000030E1	3	7.37848108169425565E9
2.09000000000000030E1	4	9.83797477559233791E9
2.09000000000000030E1	5	1.22974684694904202E10
2.09000000000000030E1	6	1.47569621633885117E10
2.09000000000000030E1	7	1.72164558572865967E10
2.09000000000000030E1	8	1.96759495511846749E10
2.09000000000000030E1	9	2.21354432450827598E10
2.09000000000000030E1	10	2.45949369389808403E10

var_c	harmindex	freq[18, ::]
2.20000000000000018E1	0	0.00000000000000000E0
2.20000000000000018E1	1	2.45912620993022646E9
2.20000000000000018E1	2	4.91825241986045292E9
2.20000000000000018E1	3	7.37737862979067938E9
2.20000000000000018E1	4	9.83650483972090584E9
2.20000000000000018E1	5	1.22956310496511323E10
2.20000000000000018E1	6	1.47547572595813592E10
2.20000000000000018E1	7	1.72138834695115794E10
2.20000000000000018E1	8	1.96730096794418108E10
2.20000000000000018E1	9	2.21321358893720355E10
2.20000000000000018E1	10	2.45912620993022646E10

var_c	harmindex	freq[19, ::]
2.31000000000000050E1	0	0.00000000000000000E0
2.31000000000000050E1	1	2.45879338613454745E9
2.31000000000000050E1	2	4.91758677226909491E9
2.31000000000000050E1	3	7.37638015840364325E9
2.31000000000000050E1	4	9.83517354453818982E9
2.31000000000000050E1	5	1.22939669306727373E10
2.31000000000000050E1	6	1.47527603168072874E10
2.31000000000000050E1	7	1.72115537029418308E10
2.31000000000000050E1	8	1.96703470890763787E10
2.31000000000000050E1	9	2.21291404752109289E10
2.31000000000000050E1	10	2.45879338613454745E10

var_c	harmindex	freq[20, ::]
2.42000000000000082E1	0	0.00000000000000000E0
2.42000000000000082E1	1	2.45849053978178578E9
2.42000000000000082E1	2	4.91698107956357156E9
2.42000000000000082E1	3	7.37547161934535644E9
2.42000000000000082E1	4	9.83396215912714311E9
2.42000000000000082E1	5	1.22924526989089333E10
2.42000000000000082E1	6	1.47509432386907124E10
2.42000000000000082E1	7	1.72094337784725093E10
2.42000000000000082E1	8	1.96679243182542862E10
2.42000000000000082E1	9	2.21264148580360764E10
2.42000000000000082E1	10	2.45849053978178667E10

var_c	harmindex	freq[21, ::]
2.53000000000000069E1	0	0.00000000000000000E0
2.53000000000000069E1	1	2.45821379532701645E9
2.53000000000000069E1	2	4.91642759065403290E9
