	HB.var_c
0	2.20000000000000018E0
1	2.30000000000000027E0
2	2.40000000000000036E0
3	2.50000000000000044E0
4	2.60000000000000053E0
5	2.70000000000000062E0
6	2.80000000000000071E0
7	2.90000000000000080E0
8	3.00000000000000089E0
9	3.10000000000000098E0
10	3.20000000000000107E0
11	3.30000000000000115E0
12	3.40000000000000124E0
13	3.50000000000000133E0
14	3.60000000000000142E0
15	3.70000000000000151E0
16	3.80000000000000160E0
17	3.90000000000000169E0
18	4.00000000000000178E0
19	4.10000000000000142E0
20	4.20000000000000107E0
21	4.30000000000000071E0
22	4.40000000000000036E0
23	4.50000000000000000E0
24	4.59999999999999964E0
25	4.69999999999999929E0
26	4.79999999999999893E0
27	4.89999999999999858E0
28	4.99999999999999822E0
29	5.09999999999999787E0
30	5.19999999999999751E0
31	5.29999999999999716E0
32	5.39999999999999680E0
33	5.50000000000000000E0


var_c	harmindex	freq[0, ::]
3.10000000000000098E0	5	1.24961447979134332E10
3.10000000000000098E0	6	1.49953737574961155E10
3.10000000000000098E0	7	1.74946027170788088E10
3.10000000000000098E0	8	1.99938316766614932E10
3.10000000000000098E0	9	2.24930606362441665E10
3.10000000000000098E0	10	2.49922895958268665E10

var_c	harmindex	freq[10, ::]
3.20000000000000107E0	0	0.00000000000000000E0
3.20000000000000107E0	1	2.49785275505917426E9
3.20000000000000107E0	2	4.99570551011834851E9
3.20000000000000107E0	3	7.49355826517752632E9
3.20000000000000107E0	4	9.99141102023669703E9
3.20000000000000107E0	5	1.24892637752958713E10
3.20000000000000107E0	6	1.49871165303550535E10
3.20000000000000107E0	7	1.74849692854142269E10
3.20000000000000107E0	8	1.99828220404733936E10
3.20000000000000107E0	9	2.24806747955325736E10
3.20000000000000107E0	10	2.49785275505917426E10

var_c	harmindex	freq[11, ::]
3.30000000000000115E0	0	0.00000000000000000E0
3.30000000000000115E0	1	2.49655457552455040E9
3.30000000000000115E0	2	4.99310915104910080E9
3.30000000000000115E0	3	7.48966372657365032E9
3.30000000000000115E0	4	9.98621830209820160E9
3.30000000000000115E0	5	1.24827728776227520E10
3.30000000000000115E0	6	1.49793274531472997E10
3.30000000000000115E0	7	1.74758820286718519E10
3.30000000000000115E0	8	1.99724366041964041E10
3.30000000000000115E0	9	2.24689911797209518E10
3.30000000000000115E0	10	2.49655457552455040E10

var_c	harmindex	freq[12, ::]
3.40000000000000124E0	0	0.00000000000000000E0
3.40000000000000124E0	1	2.49532796956769687E9
3.40000000000000124E0	2	4.99065593913539374E9
3.40000000000000124E0	3	7.48598390870309238E9
3.40000000000000124E0	4	9.98131187827078747E9
3.40000000000000124E0	5	1.24766398478384821E10
3.40000000000000124E0	6	1.49719678174061843E10
3.40000000000000124E0	7	1.74672957869738754E10
3.40000000000000124E0	8	1.99626237565415754E10
3.40000000000000124E0	9	2.24579517261092709E10
3.40000000000000124E0	10	2.49532796956769642E10

var_c	harmindex	freq[13, ::]
3.50000000000000133E0	0	0.00000000000000000E0
3.50000000000000133E0	1	2.49416717782780406E9
3.50000000000000133E0	2	4.98833435565560812E9
