	HB.var_c
0	2.20000000000000018E0
1	2.30000000000000027E0
2	2.40000000000000036E0
3	2.50000000000000044E0
4	2.60000000000000053E0
5	2.70000000000000062E0
6	2.80000000000000071E0
7	2.90000000000000080E0
8	3.00000000000000089E0
9	3.10000000000000098E0
10	3.20000000000000107E0
11	3.30000000000000115E0
12	3.40000000000000124E0
13	3.50000000000000133E0
14	3.60000000000000142E0
15	3.70000000000000151E0
16	3.80000000000000160E0
17	3.90000000000000169E0
18	4.00000000000000178E0
19	4.10000000000000142E0
20	4.20000000000000107E0
21	4.30000000000000071E0
22	4.40000000000000036E0
23	4.50000000000000000E0
24	4.59999999999999964E0
25	4.69999999999999929E0
26	4.79999999999999893E0
27	4.89999999999999858E0
28	4.99999999999999822E0
29	5.09999999999999787E0
30	5.19999999999999751E0
31	5.29999999999999716E0
32	5.39999999999999680E0
33	5.50000000000000000E0


var_c	harmindex	freq[0, ::]
var_c	harmindex	freq[2, ::]
2.40000000000000036E0	0	0.00000000000000000E0
2.40000000000000036E0	1	2.56198744353050545E9
2.40000000000000036E0	2	5.12397488706101090E9
2.40000000000000036E0	3	7.68596233059151324E9
2.40000000000000036E0	4	1.02479497741220227E10
2.40000000000000036E0	5	1.28099372176525272E10
2.40000000000000036E0	6	1.53719246611830274E10
2.40000000000000036E0	7	1.79339121047135386E10
2.40000000000000036E0	8	2.04958995482440454E10
2.40000000000000036E0	9	2.30578869917745521E10
2.40000000000000036E0	10	2.56198744353050545E10

var_c	harmindex	freq[3, ::]
2.50000000000000044E0	0	0.00000000000000000E0
2.50000000000000044E0	1	2.55827013790257407E9
2.50000000000000044E0	2	5.11654027580514814E9
2.50000000000000044E0	3	7.67481041370772044E9
2.50000000000000044E0	4	1.02330805516102963E10
2.50000000000000044E0	5	1.27913506895128704E10
2.50000000000000044E0	6	1.53496208274154400E10
2.50000000000000044E0	7	1.79078909653180141E10
2.50000000000000044E0	8	2.04661611032205926E10
2.50000000000000044E0	9	2.30244312411231622E10
2.50000000000000044E0	10	2.55827013790257407E10

var_c	harmindex	freq[4, ::]
2.60000000000000053E0	0	0.00000000000000000E0
2.60000000000000053E0	1	2.55479586971123052E9
2.60000000000000053E0	2	5.10959173942246103E9
2.60000000000000053E0	3	7.66438760913369244E9
2.60000000000000053E0	4	1.02191834788449221E10
2.60000000000000053E0	5	1.27739793485561526E10
2.60000000000000053E0	6	1.53287752182673853E10
2.60000000000000053E0	7	1.78835710879786158E10
2.60000000000000053E0	8	2.04383669576898441E10
2.60000000000000053E0	9	2.29931628274010791E10
2.60000000000000053E0	10	2.55479586971123052E10

var_c	harmindex	freq[5, ::]
2.70000000000000062E0	0	0.00000000000000000E0
2.70000000000000062E0	1	2.55154158229080785E9
2.70000000000000062E0	2	5.10308316458161570E9
2.70000000000000062E0	3	7.65462474687242178E9
2.70000000000000062E0	4	1.02061663291632310E10
2.70000000000000062E0	5	1.27577079114540348E10
2.70000000000000062E0	6	1.53092494937448431E10
2.70000000000000062E0	7	1.78607910760356536E10
2.70000000000000062E0	8	2.04123326583264619E10
2.70000000000000062E0	9	2.29638742406172680E10
2.70000000000000062E0	10	2.55154158229080696E10

var_c	harmindex	freq[6, ::]
2.80000000000000071E0	0	0.00000000000000000E0
2.80000000000000071E0	1	2.54848702659258519E9
2.80000000000000071E0	2	5.09697405318517038E9
2.80000000000000071E0	3	7.64546107977775158E9
2.80000000000000071E0	4	1.01939481063703408E10
2.80000000000000071E0	5	1.27424351329629237E10
2.80000000000000071E0	6	1.52909221595555023E10
2.80000000000000071E0	7	1.78394091861480963E10
2.80000000000000071E0	8	2.03878962127406815E10
2.80000000000000071E0	9	2.29363832393332689E10
2.80000000000000071E0	10	2.54848702659258475E10

var_c	harmindex	freq[7, ::]
2.90000000000000080E0	0	0.00000000000000000E0
2.90000000000000080E0	1	2.54561436843086542E9
2.90000000000000080E0	2	5.09122873686173083E9
2.90000000000000080E0	3	7.63684310529259669E9
2.90000000000000080E0	4	1.01824574737234608E10
2.90000000000000080E0	5	1.27280718421543271E10
2.90000000000000080E0	6	1.52736862105851934E10
2.90000000000000080E0	7	1.78193005790160575E10
2.90000000000000080E0	8	2.03649149474469215E10
2.90000000000000080E0	9	2.29105293158777901E10
2.90000000000000080E0	10	2.54561436843086542E10

var_c	harmindex	freq[8, ::]
3.00000000000000089E0	0	0.00000000000000000E0
3.00000000000000089E0	1	2.54290783491992123E9
3.00000000000000089E0	2	5.08581566983984246E9
3.00000000000000089E0	3	7.62872350475976457E9
3.00000000000000089E0	4	1.01716313396796854E10
3.00000000000000089E0	5	1.27145391745996061E10
3.00000000000000089E0	6	1.52574470095195291E10
3.00000000000000089E0	7	1.78003548444394433E10
3.00000000000000089E0	8	2.03432626793593707E10
3.00000000000000089E0	9	2.28861705142792804E10
3.00000000000000089E0	10	2.54290783491992123E10

var_c	harmindex	freq[9, ::]
3.10000000000000098E0	0	0.00000000000000000E0
3.10000000000000098E0	1	2.54035342541120324E9
3.10000000000000098E0	2	5.08070685082240647E9
3.10000000000000098E0	3	7.62106027623361104E9
