	HB.var_c
110	1.31999999999999695E1
111	1.32999999999999696E1
112	1.33999999999999675E1
113	1.34999999999999676E1
114	1.35999999999999677E1
115	1.36999999999999678E1
116	1.37999999999999678E1
117	1.38999999999999657E1
118	1.39999999999999658E1
119	1.40999999999999659E1
120	1.41999999999999660E1
121	1.42999999999999661E1
122	1.43999999999999639E1
123	1.44999999999999640E1
124	1.45999999999999641E1
125	1.46999999999999642E1
126	1.47999999999999643E1
127	1.48999999999999622E1
128	1.49999999999999623E1
129	1.50999999999999623E1
130	1.51999999999999624E1
131	1.52999999999999625E1
132	1.53999999999999604E1
133	1.54999999999999605E1
134	1.55999999999999606E1
135	1.56999999999999607E1
136	1.57999999999999607E1
137	1.58999999999999586E1
138	1.59999999999999587E1
139	1.60999999999999588E1
140	1.61999999999999611E1
141	1.62999999999999612E1
142	1.63999999999999635E1
143	1.64999999999999636E1
144	1.65999999999999659E1
145	1.66999999999999682E1
146	1.67999999999999683E1
147	1.68999999999999706E1
148	1.69999999999999707E1
149	1.70999999999999730E1
150	1.71999999999999753E1
151	1.72999999999999754E1
152	1.73999999999999777E1
153	1.74999999999999778E1
154	1.75999999999999801E1
155	1.76999999999999824E1
156	1.77999999999999825E1
157	1.78999999999999848E1
158	1.79999999999999849E1
159	1.80999999999999872E1
160	1.81999999999999895E1
161	1.82999999999999896E1
162	1.83999999999999919E1
163	1.84999999999999920E1
164	1.85999999999999943E1
165	1.86999999999999966E1
166	1.87999999999999967E1
167	1.88999999999999990E1
168	1.89999999999999991E1
169	1.91000000000000014E1
170	1.92000000000000037E1
171	1.93000000000000038E1
172	1.94000000000000061E1
173	1.95000000000000062E1
174	1.96000000000000085E1
175	1.97000000000000108E1
176	1.98000000000000109E1
177	1.99000000000000132E1
178	2.00000000000000133E1
179	2.01000000000000156E1
180	2.02000000000000179E1
181	2.03000000000000203E1
182	2.04000000000000181E1
183	2.05000000000000204E1
184	2.06000000000000227E1
185	2.07000000000000250E1
186	2.08000000000000274E1
187	2.09000000000000252E1
188	2.10000000000000275E1
189	2.11000000000000298E1
190	2.12000000000000322E1
191	2.13000000000000345E1
192	2.14000000000000323E1
193	2.15000000000000346E1
194	2.16000000000000369E1
