var_c	indep(index, 1)	plot_vs(pnmx, noisefreq)[0, ::]
2.30000000000000027E0	1.00000000000000000E9	-1.46329425321709294E2
2.30000000000000027E0	1.01000000000000001E9	-1.46372821486589033E2
2.30000000000000027E0	1.02000000000000002E9	-1.46414608534431379E2
2.30000000000000027E0	1.03000000000000003E9	-1.46454794772980645E2
2.30000000000000027E0	1.04000000000000004E9	-1.46493387831118826E2
2.30000000000000027E0	1.05000000000000004E9	-1.46530394989649815E2
2.30000000000000027E0	1.06000000000000005E9	-1.46565823088267244E2
2.30000000000000027E0	1.06999999999999984E9	-1.46599678446013160E2
2.30000000000000027E0	1.08000000000000007E9	-1.46631967113021355E2
2.30000000000000027E0	1.09000000000000008E9	-1.46662694631473189E2
2.30000000000000027E0	1.10000000000000009E9	-1.46691866247324798E2
2.30000000000000027E0	1.10999999999999988E9	-1.46719486750563766E2
2.30000000000000027E0	1.11999999999999988E9	-1.46745560734371994E2
2.30000000000000027E0	1.13000000000000012E9	-1.46770092340700264E2
2.30000000000000027E0	1.14000000000000012E9	-1.46793085407467716E2
2.30000000000000027E0	1.14999999999999991E9	-1.46814543531609409E2
2.30000000000000027E0	1.15999999999999992E9	-1.46834469962424841E2
2.30000000000000027E0	1.16999999999999993E9	-1.46852867641376661E2
2.30000000000000027E0	1.18000000000000016E9	-1.46869739290647439E2
2.30000000000000027E0	1.18999999999999995E9	-1.46885087384670721E2
2.30000000000000027E0	1.19999999999999996E9	-1.46898914010563253E2
2.30000000000000027E0	1.20999999999999996E9	-1.46911221159438732E2
2.30000000000000027E0	1.21999999999999997E9	-1.46922010558087424E2
2.30000000000000027E0	1.22999999999999998E9	-1.46931283546925551E2
2.30000000000000027E0	1.23999999999999999E9	-1.46939041496172140E2
2.30000000000000027E0	1.25000000000000000E9	-1.46945285333071074E2
2.30000000000000027E0	1.26000000000000001E9	-1.46950015833786019E2
2.30000000000000027E0	1.27000000000000002E9	-1.46953233609281031E2
2.30000000000000027E0	1.28000000000000003E9	-1.46954939026350595E2
2.30000000000000027E0	1.29000000000000004E9	-1.46955132195953353E2
2.30000000000000027E0	1.30000000000000004E9	-1.46953813157416047E2
2.30000000000000027E0	1.31000000000000005E9	-1.46950981588178031E2
2.30000000000000027E0	1.31999999999999984E9	-1.46946637067879893E2
2.30000000000000027E0	1.33000000000000007E9	-1.46940778994374233E2
2.30000000000000027E0	1.34000000000000008E9	-1.46933406482948392E2
2.30000000000000027E0	1.35000000000000009E9	-1.46924518474215970E2
2.30000000000000027E0	1.35999999999999988E9	-1.46914113767194143E2
2.30000000000000027E0	1.36999999999999988E9	-1.46902190904344288E2
2.30000000000000027E0	1.38000000000000012E9	-1.46888748181760564E2
2.30000000000000027E0	1.39000000000000012E9	-1.46873783832829341E2
2.30000000000000027E0	1.39999999999999991E9	-1.46857295711897295E2
2.30000000000000027E0	1.40999999999999992E9	-1.46839281591215598E2
2.30000000000000027E0	1.41999999999999993E9	-1.46819738922266185E2
2.30000000000000027E0	1.43000000000000016E9	-1.46798665041442233E2
2.30000000000000027E0	1.43999999999999995E9	-1.46776056914379316E2
2.30000000000000027E0	1.44999999999999996E9	-1.46751911383315514E2
2.30000000000000027E0	1.45999999999999996E9	-1.46726225024607171E2
2.30000000000000027E0	1.46999999999999997E9	-1.46698994117670667E2
2.30000000000000027E0	1.47999999999999998E9	-1.46670214768318141E2
2.30000000000000027E0	1.48999999999999999E9	-1.46639882681211242E2
2.30000000000000027E0	1.50000000000000000E9	-1.46607993420486094E2
2.30000000000000027E0	1.51000000000000001E9	-1.46574542203719771E2
2.30000000000000027E0	1.52000000000000002E9	-1.46539523897183743E2
2.30000000000000027E0	1.53000000000000003E9	-1.46502933118235346E2
2.30000000000000027E0	1.54000000000000004E9	-1.46464764186264573E2
2.30000000000000027E0	1.55000000000000004E9	-1.46425010994818661E2
2.30000000000000027E0	1.56000000000000005E9	-1.46383667145020779E2
2.30000000000000027E0	1.56999999999999984E9	-1.46340725904084001E2
2.30000000000000027E0	1.58000000000000007E9	-1.46296180069513282E2
2.30000000000000027E0	1.59000000000000008E9	-1.46250022093438670E2
2.30000000000000027E0	1.60000000000000009E9	-1.46202244028120898E2
2.30000000000000027E0	1.61000000000000010E9	-1.46152837422464810E2
2.30000000000000027E0	1.61999999999999988E9	-1.46101793477311648E2
2.30000000000000027E0	1.63000000000000012E9	-1.46049102857655044E2
2.30000000000000027E0	1.63999999999999990E9	-1.45994755742715121E2
2.30000000000000027E0	1.64999999999999991E9	-1.45938741767813518E2
2.30000000000000027E0	1.66000000000000014E9	-1.45881050099012222E2
