	HB.var_c
0	1.10000000000000009E0
1	1.20000000000000018E0
2	1.30000000000000027E0
3	1.40000000000000036E0
4	1.50000000000000044E0
5	1.60000000000000053E0
6	1.70000000000000062E0
7	1.80000000000000071E0
8	1.90000000000000080E0
9	2.00000000000000089E0
10	2.10000000000000098E0
11	2.20000000000000107E0
12	2.30000000000000115E0
13	2.40000000000000124E0
14	2.50000000000000133E0
15	2.60000000000000142E0
16	2.70000000000000151E0
17	2.80000000000000160E0
18	2.90000000000000169E0
19	3.00000000000000178E0
20	3.10000000000000187E0
21	3.20000000000000195E0
22	3.30000000000000204E0
23	3.40000000000000213E0
24	3.50000000000000222E0
25	3.60000000000000231E0
26	3.70000000000000240E0
27	3.80000000000000249E0
28	3.90000000000000258E0
29	4.00000000000000266E0
30	4.10000000000000231E0
31	4.20000000000000195E0
32	4.30000000000000160E0
33	4.40000000000000124E0
34	4.50000000000000089E0
35	4.60000000000000053E0
36	4.70000000000000018E0
37	4.79999999999999982E0
38	4.89999999999999947E0
39	4.99999999999999911E0
40	5.09999999999999876E0
41	5.19999999999999840E0
42	5.29999999999999805E0
43	5.39999999999999769E0
44	5.50000000000000000E0


var_c	harmindex	freq[0, ::]
1.50000000000000044E0	2	5.08017954144823225E9
1.50000000000000044E0	3	7.62026931217235148E9
1.50000000000000044E0	4	1.01603590828964641E10
1.50000000000000044E0	5	1.27004488536205806E10
1.50000000000000044E0	6	1.52405386243447039E10
1.50000000000000044E0	7	1.77806283950688160E10
1.50000000000000044E0	8	2.03207181657929281E10
1.50000000000000044E0	9	2.28608079365170491E10
1.50000000000000044E0	10	2.54008977072411612E10

var_c	harmindex	freq[5, ::]
1.60000000000000053E0	0	0.00000000000000000E0
1.60000000000000053E0	1	2.53514013403192262E9
1.60000000000000053E0	2	5.07028026806384524E9
1.60000000000000053E0	3	7.60542040209576697E9
1.60000000000000053E0	4	1.01405605361276896E10
1.60000000000000053E0	5	1.26757006701596131E10
1.60000000000000053E0	6	1.52108408041915344E10
1.60000000000000053E0	7	1.77459809382234601E10
1.60000000000000053E0	8	2.02811210722553792E10
1.60000000000000053E0	9	2.28162612062873027E10
1.60000000000000053E0	10	2.53514013403192262E10

var_c	harmindex	freq[6, ::]
1.70000000000000062E0	0	0.00000000000000000E0
1.70000000000000062E0	1	2.53070321569168755E9
1.70000000000000062E0	2	5.06140643138337509E9
1.70000000000000062E0	3	7.59210964707506086E9
1.70000000000000062E0	4	1.01228128627667502E10
1.70000000000000062E0	5	1.26535160784584377E10
1.70000000000000062E0	6	1.51842192941501208E10
1.70000000000000062E0	7	1.77149225098418195E10
1.70000000000000062E0	8	2.02456257255335004E10
1.70000000000000062E0	9	2.27763289412251968E10
1.70000000000000062E0	10	2.53070321569168755E10

var_c	harmindex	freq[7, ::]
1.80000000000000071E0	0	0.00000000000000000E0
1.80000000000000071E0	1	2.52670330328514670E9
