var_c	indep(index, 1)	plot_vs(pnmx, noisefreq)[0, ::]
2.20000000000000018E0	2.00000000000000000E9	-1.47617312123386801E2
2.20000000000000018E0	2.01000000000000023E9	-1.47497794438220642E2
2.20000000000000018E0	2.02000000000000002E9	-1.47376020773618377E2
2.20000000000000018E0	2.03000000000000025E9	-1.47251947223104240E2
2.20000000000000018E0	2.04000000000000004E9	-1.47125526736192613E2
2.20000000000000018E0	2.04999999999999982E9	-1.46996708710197588E2
2.20000000000000018E0	2.06000000000000005E9	-1.46865438568006734E2
2.20000000000000018E0	2.06999999999999984E9	-1.46731657292834439E2
2.20000000000000018E0	2.08000000000000007E9	-1.46595300784965410E2
2.20000000000000018E0	2.08999999999999986E9	-1.46456299261191392E2
2.20000000000000018E0	2.10000000000000009E9	-1.46314576434997545E2
2.20000000000000018E0	2.11000000000000032E9	-1.46170048588401147E2
2.20000000000000018E0	2.12000000000000011E9	-1.46022623565712029E2
2.20000000000000018E0	2.12999999999999989E9	-1.45872199477094044E2
2.20000000000000018E0	2.13999999999999968E9	-1.45718663293132211E2
2.20000000000000018E0	2.14999999999999991E9	-1.45561889144522549E2
2.20000000000000018E0	2.16000000000000014E9	-1.45401736343854626E2
2.20000000000000018E0	2.16999999999999993E9	-1.45238047087909083E2
2.20000000000000018E0	2.18000000000000016E9	-1.45070643770094931E2
2.20000000000000018E0	2.18999999999999995E9	-1.44899325817508529E2
2.20000000000000018E0	2.20000000000000018E9	-1.44723866015386249E2
2.20000000000000018E0	2.20999999999999996E9	-1.44544006244241996E2
2.20000000000000018E0	2.21999999999999975E9	-1.44359452438634062E2
2.20000000000000018E0	2.22999999999999998E9	-1.44169868812737612E2
2.20000000000000018E0	2.23999999999999977E9	-1.43974870990550596E2
2.20000000000000018E0	2.25000000000000000E9	-1.43774018294571881E2
2.20000000000000018E0	2.26000000000000023E9	-1.43566804558145256E2
2.20000000000000018E0	2.27000000000000002E9	-1.43352647703665648E2
2.20000000000000018E0	2.28000000000000025E9	-1.43130877747882579E2
2.20000000000000018E0	2.29000000000000004E9	-1.42900723178931677E2
2.20000000000000018E0	2.29999999999999982E9	-1.42661295472584815E2
2.20000000000000018E0	2.31000000000000005E9	-1.42411571804579706E2
2.20000000000000018E0	2.31999999999999984E9	-1.42150375969490539E2
2.20000000000000018E0	2.33000000000000007E9	-1.41876357582225654E2
2.20000000000000018E0	2.33999999999999986E9	-1.41587970002888097E2
2.20000000000000018E0	2.35000000000000009E9	-1.41283447539289231E2
2.20000000000000018E0	2.36000000000000032E9	-1.40960782808302088E2
2.20000000000000018E0	2.37000000000000011E9	-1.40617705487253097E2
2.20000000000000018E0	2.37999999999999989E9	-1.40251663599126353E2
2.20000000000000018E0	2.38999999999999968E9	-1.39859807467771113E2
2.20000000000000018E0	2.39999999999999991E9	-1.39438973549498035E2
2.20000000000000018E0	2.41000000000000014E9	-1.38985655618741499E2
2.20000000000000018E0	2.41999999999999993E9	-1.38495926785489121E2
2.20000000000000018E0	2.43000000000000016E9	-1.37965215561060051E2
2.20000000000000018E0	2.43999999999999995E9	-1.37387687915309487E2
2.20000000000000018E0	2.45000000000000018E9	-1.36754609539085692E2
2.20000000000000018E0	2.45999999999999996E9	-1.36050086567521156E2
2.20000000000000018E0	2.46999999999999975E9	-1.35239975016987080E2
2.20000000000000018E0	2.47999999999999998E9	-1.34242423630565311E2
2.20000000000000018E0	2.48999999999999977E9	-1.32847136659714415E2
2.20000000000000018E0	2.50000000000000000E9	-1.30492923209212219E2
2.20000000000000018E0	2.51000000000000023E9	-1.25892802466355369E2
2.20000000000000018E0	2.52000000000000002E9	-1.23650380521268666E2
2.20000000000000018E0	2.53000000000000025E9	-1.29298880758910006E2
2.20000000000000018E0	2.54000000000000004E9	-1.32296110530063626E2
2.20000000000000018E0	2.54999999999999982E9	-1.33946119989837653E2
2.20000000000000018E0	2.56000000000000005E9	-1.35053186107291534E2
