	HB.var_c
0	1.10000000000000009E0
1	2.10000000000000009E0
2	3.10000000000000009E0
3	4.09999999999999964E0
4	5.09999999999999964E0
5	6.09999999999999964E0
6	7.09999999999999964E0
7	8.09999999999999964E0
8	9.09999999999999964E0
9	1.01000000000000001E1
10	1.10999999999999988E1
11	1.20999999999999996E1
12	1.31000000000000005E1
13	1.40999999999999992E1
14	1.51000000000000001E1
15	1.61000000000000010E1
16	1.71000000000000019E1
17	1.81000000000000005E1
18	1.91000000000000014E1
19	2.01000000000000023E1
20	2.11000000000000032E1
21	2.20999999999999996E1
22	2.31000000000000005E1
23	2.41000000000000014E1
24	2.51000000000000023E1
25	2.61000000000000032E1
26	2.70999999999999996E1
27	2.81000000000000005E1
28	2.91000000000000014E1
29	3.01000000000000023E1
30	3.11000000000000032E1
31	3.20999999999999996E1
32	3.31000000000000005E1
33	3.41000000000000014E1
34	3.51000000000000023E1
35	3.61000000000000032E1
36	3.70999999999999996E1
37	3.81000000000000005E1
38	3.91000000000000014E1
39	4.00999999999999979E1
40	4.11000000000000032E1
41	4.20999999999999996E1
42	4.31000000000000050E1
43	4.41000000000000014E1
44	4.43999999999999950E1


var_c	harmindex	freq[0, ::]
5.09999999999999964E0	2	4.95781852988046001E9
5.09999999999999964E0	3	7.43672779482069046E9
5.09999999999999964E0	4	9.91563705976092002E9
5.09999999999999964E0	5	1.23945463247011500E10
5.09999999999999964E0	6	1.48734555896413800E10
5.09999999999999964E0	7	1.73523648545816167E10
5.09999999999999964E0	8	1.98312741195218400E10
5.09999999999999964E0	9	2.23101833844620678E10
5.09999999999999964E0	10	2.47890926494023001E10

var_c	harmindex	freq[5, ::]
6.09999999999999964E0	0	0.00000000000000000E0
6.09999999999999964E0	1	2.47426621227953447E9
6.09999999999999964E0	2	4.94853242455906894E9
6.09999999999999964E0	3	7.42279863683860430E9
6.09999999999999964E0	4	9.89706484911813789E9
6.09999999999999964E0	5	1.23713310613976724E10
6.09999999999999964E0	6	1.48455972736772090E10
6.09999999999999964E0	7	1.73198634859567369E10
6.09999999999999964E0	8	1.97941296982362758E10
6.09999999999999964E0	9	2.22683959105158058E10
6.09999999999999964E0	10	2.47426621227953447E10

var_c	harmindex	freq[6, ::]
7.09999999999999964E0	0	0.00000000000000000E0
7.09999999999999964E0	1	2.47089035731385120E9
7.09999999999999964E0	2	4.94178071462770241E9
7.09999999999999964E0	3	7.41267107194155450E9
7.09999999999999964E0	4	9.88356142925540482E9
7.09999999999999964E0	5	1.23544517865692560E10
7.09999999999999964E0	6	1.48253421438831090E10
7.09999999999999964E0	7	1.72962325011969620E10
7.09999999999999964E0	8	1.97671228585108105E10
7.09999999999999964E0	9	2.22380132158246679E10
7.09999999999999964E0	10	2.47089035731385120E10

var_c	harmindex	freq[7, ::]
8.09999999999999964E0	0	0.00000000000000000E0
8.09999999999999964E0	1	2.46832524926889096E9
8.09999999999999964E0	2	4.93665049853778193E9
8.09999999999999964E0	3	7.40497574780667112E9
8.09999999999999964E0	4	9.87330099707556386E9
8.09999999999999964E0	5	1.23416262463444548E10
8.09999999999999964E0	6	1.48099514956133427E10
8.09999999999999964E0	7	1.72782767448822350E10
8.09999999999999964E0	8	1.97466019941511273E10
8.09999999999999964E0	9	2.22149272434200107E10
8.09999999999999964E0	10	2.46832524926889096E10

var_c	harmindex	freq[8, ::]
9.09999999999999964E0	0	0.00000000000000000E0
9.09999999999999964E0	1	2.46631014925792913E9
9.09999999999999964E0	2	4.93262029851585826E9
9.09999999999999964E0	3	7.39893044777378783E9
9.09999999999999964E0	4	9.86524059703171652E9
9.09999999999999964E0	5	1.23315507462896456E10
9.09999999999999964E0	6	1.47978608955475766E10
9.09999999999999964E0	7	1.72641710448055008E10
9.09999999999999964E0	8	1.97304811940634339E10
9.09999999999999964E0	9	2.21967913433213582E10
9.09999999999999964E0	10	2.46631014925792913E10

var_c	harmindex	freq[9, ::]
1.01000000000000001E1	0	0.00000000000000000E0
1.01000000000000001E1	1	2.46468529116897717E9
1.01000000000000001E1	2	4.92937058233795433E9
1.01000000000000001E1	3	7.39405587350693416E9
1.01000000000000001E1	4	9.85874116467590866E9
1.01000000000000001E1	5	1.23234264558448858E10
1.01000000000000001E1	6	1.47881117470138679E10
1.01000000000000001E1	7	1.72527970381828455E10
1.01000000000000001E1	8	1.97174823293518164E10
1.01000000000000001E1	9	2.21821676205208007E10
1.01000000000000001E1	10	2.46468529116897717E10

var_c	harmindex	freq[10, ::]
1.10999999999999988E1	0	0.00000000000000000E0
1.10999999999999988E1	1	2.46334731845071264E9
1.10999999999999988E1	2	4.92669463690142528E9
1.10999999999999988E1	3	7.39004195535213704E9
1.10999999999999988E1	4	9.85338927380285057E9
1.10999999999999988E1	5	1.23167365922535632E10
1.10999999999999988E1	6	1.47800839107042736E10
1.10999999999999988E1	7	1.72434312291549929E10
1.10999999999999988E1	8	1.97067785476057011E10
1.10999999999999988E1	9	2.21701258660564182E10
1.10999999999999988E1	10	2.46334731845071264E10

var_c	harmindex	freq[11, ::]
1.20999999999999996E1	0	0.00000000000000000E0
1.20999999999999996E1	1	2.46222642101224753E9
1.20999999999999996E1	2	4.92445284202449507E9
1.20999999999999996E1	3	7.38667926303673994E9
1.20999999999999996E1	4	9.84890568404899014E9
1.20999999999999996E1	5	1.23111321050612377E10
1.20999999999999996E1	6	1.47733585260734790E10
1.20999999999999996E1	7	1.72355849470857292E10
1.20999999999999996E1	8	1.96978113680979794E10
1.20999999999999996E1	9	2.21600377891102207E10
1.20999999999999996E1	10	2.46222642101224753E10

var_c	harmindex	freq[12, ::]
1.31000000000000005E1	0	0.00000000000000000E0
1.31000000000000005E1	1	2.46127373538832250E9
1.31000000000000005E1	2	4.92254747077664501E9
1.31000000000000005E1	3	7.38382120616496884E9
1.31000000000000005E1	4	9.84509494155329001E9
1.31000000000000005E1	5	1.23063686769416147E10
1.31000000000000005E1	6	1.47676424123299377E10
1.31000000000000005E1	7	1.72289161477182584E10
1.31000000000000005E1	8	1.96901898831065791E10
1.31000000000000005E1	9	2.21514636184948976E10
1.31000000000000005E1	10	2.46127373538832295E10

var_c	harmindex	freq[13, ::]
1.40999999999999992E1	0	0.00000000000000000E0
1.40999999999999992E1	1	2.46045403764686998E9
1.40999999999999992E1	2	4.92090807529373997E9
1.40999999999999992E1	3	7.38136211294060907E9
1.40999999999999992E1	4	9.84181615058747994E9
1.40999999999999992E1	5	1.23022701882343499E10
1.40999999999999992E1	6	1.47627242258812186E10
1.40999999999999992E1	7	1.72231782635280917E10
1.40999999999999992E1	8	1.96836323011749603E10
1.40999999999999992E1	9	2.21440863388218290E10
1.40999999999999992E1	10	2.46045403764686998E10

var_c	harmindex	freq[14, ::]
1.51000000000000001E1	0	0.00000000000000000E0
1.51000000000000001E1	1	2.45974130327084728E9
1.51000000000000001E1	2	4.91948260654169456E9
1.51000000000000001E1	3	7.37922390981254051E9
1.51000000000000001E1	4	9.83896521308338912E9
1.51000000000000001E1	5	1.22987065163542364E10
1.51000000000000001E1	6	1.47584478196250801E10
1.51000000000000001E1	7	1.72181891228959261E10
1.51000000000000001E1	8	1.96779304261667787E10
1.51000000000000001E1	9	2.21376717294376224E10
1.51000000000000001E1	10	2.45974130327084728E10

var_c	harmindex	freq[15, ::]
1.61000000000000010E1	0	0.00000000000000000E0
1.61000000000000010E1	1	2.45911587569882917E9
1.61000000000000010E1	2	4.91823175139765834E9
1.61000000000000010E1	3	7.37734762709648884E9
1.61000000000000010E1	4	9.83646350279531667E9
1.61000000000000010E1	5	1.22955793784941458E10
1.61000000000000010E1	6	1.47546952541929777E10
1.61000000000000010E1	7	1.72138111298918051E10
1.61000000000000010E1	8	1.96729270055906325E10
1.61000000000000010E1	9	2.21320428812894621E10
1.61000000000000010E1	10	2.45911587569882917E10

var_c	harmindex	freq[16, ::]
1.71000000000000019E1	0	0.00000000000000000E0
1.71000000000000019E1	1	2.45856263895109528E9
1.71000000000000019E1	2	4.91712527790219056E9
1.71000000000000019E1	3	7.37568791685328584E9
1.71000000000000019E1	4	9.83425055580438112E9
1.71000000000000019E1	5	1.22928131947554786E10
1.71000000000000019E1	6	1.47513758337065726E10
1.71000000000000019E1	7	1.72099384726576621E10
1.71000000000000019E1	8	1.96685011116087627E10
1.71000000000000019E1	9	2.21270637505598611E10
1.71000000000000019E1	10	2.45856263895109572E10

var_c	harmindex	freq[17, ::]
1.81000000000000005E1	0	0.00000000000000000E0
1.81000000000000005E1	1	2.45806977609491550E9
1.81000000000000005E1	2	4.91613955218983101E9
1.81000000000000005E1	3	7.37420932828474651E9
1.81000000000000005E1	4	9.83227910437966202E9
1.81000000000000005E1	5	1.22903488804745775E10
1.81000000000000005E1	6	1.47484186565694930E10
1.81000000000000005E1	7	1.72064884326644085E10
1.81000000000000005E1	8	1.96645582087593240E10
1.81000000000000005E1	9	2.21226279848542351E10
1.81000000000000005E1	10	2.45806977609491550E10

var_c	harmindex	freq[18, ::]
1.91000000000000014E1	0	0.00000000000000000E0
1.91000000000000014E1	1	2.45762791581022233E9
1.91000000000000014E1	2	4.91525583162044466E9
1.91000000000000014E1	3	7.37288374743066566E9
1.91000000000000014E1	4	9.83051166324088932E9
1.91000000000000014E1	5	1.22881395790511094E10
1.91000000000000014E1	6	1.47457674948613304E10
1.91000000000000014E1	7	1.72033954106715581E10
1.91000000000000014E1	8	1.96610233264817791E10
1.91000000000000014E1	9	2.21186512422919890E10
1.91000000000000014E1	10	2.45762791581022189E10

var_c	harmindex	freq[19, ::]
2.01000000000000023E1	0	0.00000000000000000E0
2.01000000000000023E1	1	2.45722953084779805E9
2.01000000000000023E1	2	4.91445906169559610E9
2.01000000000000023E1	3	7.37168859254339459E9
2.01000000000000023E1	4	9.82891812339119220E9
2.01000000000000023E1	5	1.22861476542389902E10
2.01000000000000023E1	6	1.47433771850867901E10
2.01000000000000023E1	7	1.72006067159345899E10
2.01000000000000023E1	8	1.96578362467823853E10
2.01000000000000023E1	9	2.21150657776301873E10
2.01000000000000023E1	10	2.45722953084779805E10

var_c	harmindex	freq[20, ::]
2.11000000000000032E1	0	0.00000000000000000E0
2.11000000000000032E1	1	2.45686850571150606E9
2.11000000000000032E1	2	4.91373701142301211E9
2.11000000000000032E1	3	7.37060551713451684E9
2.11000000000000032E1	4	9.82747402284602423E9
2.11000000000000032E1	5	1.22843425285575303E10
2.11000000000000032E1	6	1.47412110342690328E10
2.11000000000000032E1	7	1.71980795399805397E10
2.11000000000000032E1	8	1.96549480456920489E10
2.11000000000000032E1	9	2.21118165514035514E10
2.11000000000000032E1	10	2.45686850571150606E10

var_c	harmindex	freq[21, ::]
2.20999999999999996E1	0	0.00000000000000000E0
2.20999999999999996E1	1	2.45653982051316389E9
2.20999999999999996E1	2	4.91307964102632777E9
2.20999999999999996E1	3	7.36961946153949476E9
2.20999999999999996E1	4	9.82615928205265554E9
2.20999999999999996E1	5	1.22826991025658194E10
2.20999999999999996E1	6	1.47392389230789900E10
2.20999999999999996E1	7	1.71957787435921494E10
2.20999999999999996E1	8	1.96523185641053111E10
2.20999999999999996E1	9	2.21088583846184772E10
2.20999999999999996E1	10	2.45653982051316389E10

var_c	harmindex	freq[22, ::]
2.31000000000000005E1	0	0.00000000000000000E0
2.31000000000000005E1	1	2.45623931614088331E9
2.31000000000000005E1	2	4.91247863228176662E9
2.31000000000000005E1	3	7.36871794842265082E9
2.31000000000000005E1	4	9.82495726456353324E9
2.31000000000000005E1	5	1.22811965807044166E10
2.31000000000000005E1	6	1.47374358968453012E10
2.31000000000000005E1	7	1.71936752129861925E10
2.31000000000000005E1	8	1.96499145291270660E10
2.31000000000000005E1	9	2.21061538452679596E10
2.31000000000000005E1	10	2.45623931614088331E10

var_c	harmindex	freq[23, ::]
2.41000000000000014E1	0	0.00000000000000000E0
2.41000000000000014E1	1	2.45596351734442342E9
2.41000000000000014E1	2	4.91192703468884684E9
2.41000000000000014E1	3	7.36789055203327159E9
2.41000000000000014E1	4	9.82385406937769368E9
2.41000000000000014E1	5	1.22798175867221171E10
2.41000000000000014E1	6	1.47357811040665432E10
2.41000000000000014E1	7	1.71917446214109715E10
2.41000000000000014E1	8	1.96477081387553865E10
2.41000000000000014E1	9	2.21036716560998103E10
2.41000000000000014E1	10	2.45596351734442342E10

var_c	harmindex	freq[24, ::]
2.51000000000000023E1	0	0.00000000000000000E0
2.51000000000000023E1	1	2.45570949850803766E9
2.51000000000000023E1	2	4.91141899701607532E9
2.51000000000000023E1	3	7.36712849552411342E9
2.51000000000000023E1	4	9.82283799403215063E9
2.51000000000000023E1	5	1.22785474925401883E10
2.51000000000000023E1	6	1.47342569910482268E10
2.51000000000000023E1	7	1.71899664895562587E10
2.51000000000000023E1	8	1.96456759880643017E10
2.51000000000000023E1	9	2.21013854865723314E10
2.51000000000000023E1	10	2.45570949850803766E10

var_c	harmindex	freq[25, ::]
