var_c	indep(index, 1)	plot_vs(pnmx, noisefreq)[0, ::]
2.20000000000000018E0	2.29999999999999982E9	-1.42661295472584815E2
2.20000000000000018E0	2.31000000000000005E9	-1.42411571804579706E2
2.20000000000000018E0	2.31999999999999984E9	-1.42150375969490539E2
2.20000000000000018E0	2.33000000000000007E9	-1.41876357582225654E2
2.20000000000000018E0	2.33999999999999986E9	-1.41587970002888097E2
2.20000000000000018E0	2.35000000000000009E9	-1.41283447539289231E2
2.20000000000000018E0	2.36000000000000032E9	-1.40960782808302088E2
2.20000000000000018E0	2.37000000000000011E9	-1.40617705487253097E2
2.20000000000000018E0	2.37999999999999989E9	-1.40251663599126353E2
2.20000000000000018E0	2.38999999999999968E9	-1.39859807467771113E2
2.20000000000000018E0	2.39999999999999991E9	-1.39438973549498035E2
2.20000000000000018E0	2.41000000000000014E9	-1.38985655618741499E2
2.20000000000000018E0	2.41999999999999993E9	-1.38495926785489121E2
2.20000000000000018E0	2.43000000000000016E9	-1.37965215561060051E2
2.20000000000000018E0	2.43999999999999995E9	-1.37387687915309487E2
2.20000000000000018E0	2.45000000000000018E9	-1.36754609539085692E2
2.20000000000000018E0	2.45999999999999996E9	-1.36050086567521156E2
2.20000000000000018E0	2.46999999999999975E9	-1.35239975016987080E2
2.20000000000000018E0	2.47999999999999998E9	-1.34242423630565311E2
2.20000000000000018E0	2.48999999999999977E9	-1.32847136659714415E2
2.20000000000000018E0	2.50000000000000000E9	-1.30492923209212219E2
2.20000000000000018E0	2.51000000000000023E9	-1.25892802466355369E2
2.20000000000000018E0	2.52000000000000002E9	-1.23650380521268666E2
2.20000000000000018E0	2.53000000000000025E9	-1.29298880758910006E2
2.20000000000000018E0	2.54000000000000004E9	-1.32296110530063626E2
2.20000000000000018E0	2.54999999999999982E9	-1.33946119989837653E2
2.20000000000000018E0	2.56000000000000005E9	-1.35053186107291534E2
2.20000000000000018E0	2.56999999999999984E9	-1.35919049770531908E2
2.20000000000000018E0	2.58000000000000007E9	-1.36658480163503127E2
2.20000000000000018E0	2.58999999999999986E9	-1.37317709544701305E2
2.20000000000000018E0	2.60000000000000009E9	-1.37917141054089387E2
2.20000000000000018E0	2.61000000000000032E9	-1.38467201574267929E2
2.20000000000000018E0	2.62000000000000011E9	-1.38974372843878347E2
2.20000000000000018E0	2.62999999999999989E9	-1.39443500761392958E2
2.20000000000000018E0	2.63999999999999968E9	-1.39878666642398830E2
2.20000000000000018E0	2.64999999999999991E9	-1.40283501943980915E2
2.20000000000000018E0	2.66000000000000014E9	-1.40661294462593811E2
2.20000000000000018E0	2.66999999999999993E9	-1.41015022081283226E2
2.20000000000000018E0	2.68000000000000016E9	-1.41347366793033347E2
2.20000000000000018E0	2.68999999999999995E9	-1.41660726655579250E2
2.20000000000000018E0	2.70000000000000018E9	-1.41957231065708767E2

var_c	indep(index, 1)	plot_vs(pnmx, noisefreq)[1, ::]
3.30000000000000027E0	2.29999999999999982E9	-1.43130010002698960E2
3.30000000000000027E0	2.31000000000000005E9	-1.42892219906459905E2
3.30000000000000027E0	2.31999999999999984E9	-1.42640202600207622E2
3.30000000000000027E0	2.33000000000000007E9	-1.42371512240937603E2
3.30000000000000027E0	2.33999999999999986E9	-1.42083189566882773E2
3.30000000000000027E0	2.35000000000000009E9	-1.41771650752790124E2
3.30000000000000027E0	2.36000000000000032E9	-1.41432552013759749E2
3.30000000000000027E0	2.37000000000000011E9	-1.41060624315646854E2
3.30000000000000027E0	2.37999999999999989E9	-1.40649470325974213E2
3.30000000000000027E0	2.38999999999999968E9	-1.40191311013255082E2
3.30000000000000027E0	2.39999999999999991E9	-1.39676657557644379E2
3.30000000000000027E0	2.41000000000000014E9	-1.39093854650823756E2
3.30000000000000027E0	2.41999999999999993E9	-1.38428358208544067E2
3.30000000000000027E0	2.43000000000000016E9	-1.37661380431964764E2
3.30000000000000027E0	2.43999999999999995E9	-1.36766851032650338E2
3.30000000000000027E0	2.45000000000000018E9	-1.35703584860466964E2
3.30000000000000027E0	2.45999999999999996E9	-1.34393235814262413E2
3.30000000000000027E0	2.46999999999999975E9	-1.32656256870285061E2
3.30000000000000027E0	2.47999999999999998E9	-1.30041507228602482E2
3.30000000000000027E0	2.48999999999999977E9	-1.25748185603335472E2
3.30000000000000027E0	2.50000000000000000E9	-1.24051089248138924E2
3.30000000000000027E0	2.51000000000000023E9	-1.28968407134794805E2
3.30000000000000027E0	2.52000000000000002E9	-1.32093869965180266E2
3.30000000000000027E0	2.53000000000000025E9	-1.34068426676918873E2
3.30000000000000027E0	2.54000000000000004E9	-1.35504371077927366E2
3.30000000000000027E0	2.54999999999999982E9	-1.36648003280919239E2
3.30000000000000027E0	2.56000000000000005E9	-1.37601457696090934E2
3.30000000000000027E0	2.56999999999999984E9	-1.38414784281245007E2
3.30000000000000027E0	2.58000000000000007E9	-1.39117847349637169E2
3.30000000000000027E0	2.58999999999999986E9	-1.39731436096162054E2
3.30000000000000027E0	2.60000000000000009E9	-1.40271401153280806E2
3.30000000000000027E0	2.61000000000000032E9	-1.40750386270128303E2
3.30000000000000027E0	2.62000000000000011E9	-1.41178685393221892E2
3.30000000000000027E0	2.62999999999999989E9	-1.41564751787620891E2
3.30000000000000027E0	2.63999999999999968E9	-1.41915550851651662E2
3.30000000000000027E0	2.64999999999999991E9	-1.42236829103944329E2
3.30000000000000027E0	2.66000000000000014E9	-1.42533329669800279E2
3.30000000000000027E0	2.66999999999999993E9	-1.42808968562930128E2
3.30000000000000027E0	2.68000000000000016E9	-1.43066980071997607E2
3.30000000000000027E0	2.68999999999999995E9	-1.43310036882628022E2
3.30000000000000027E0	2.70000000000000018E9	-1.43540349229299502E2

var_c	indep(index, 1)	plot_vs(pnmx, noisefreq)[2, ::]
4.40000000000000036E0	2.29999999999999982E9	-1.43241710517695120E2
4.40000000000000036E0	2.31000000000000005E9	-1.43012896076008333E2
4.40000000000000036E0	2.31999999999999984E9	-1.42768545856529872E2
4.40000000000000036E0	2.33000000000000007E9	-1.42505501739169027E2
4.40000000000000036E0	2.33999999999999986E9	-1.42219830646475209E2
4.40000000000000036E0	2.35000000000000009E9	-1.41906617889183617E2
4.40000000000000036E0	2.36000000000000032E9	-1.41559700190019444E2
4.40000000000000036E0	2.37000000000000011E9	-1.41171317013104369E2
4.40000000000000036E0	2.37999999999999989E9	-1.40731651837996274E2
4.40000000000000036E0	2.38999999999999968E9	-1.40228217275625489E2
4.40000000000000036E0	2.39999999999999991E9	-1.39645010068224051E2
4.40000000000000036E0	2.41000000000000014E9	-1.38961294294629512E2
4.40000000000000036E0	2.41999999999999993E9	-1.38149710033566864E2
4.40000000000000036E0	2.43000000000000016E9	-1.37172951909355967E2
4.40000000000000036E0	2.43999999999999995E9	-1.35976862400053067E2
4.40000000000000036E0	2.45000000000000018E9	-1.34473121981515265E2
4.40000000000000036E0	2.45999999999999996E9	-1.32489318960211788E2
4.40000000000000036E0	2.46999999999999975E9	-1.29632406793797172E2
4.40000000000000036E0	2.47999999999999998E9	-1.25357163866938537E2
4.40000000000000036E0	2.48999999999999977E9	-1.24317315265554784E2
4.40000000000000036E0	2.50000000000000000E9	-1.28979730684632665E2
4.40000000000000036E0	2.51000000000000023E9	-1.32160614121748909E2
4.40000000000000036E0	2.52000000000000002E9	-1.34315259506128371E2
4.40000000000000036E0	2.53000000000000025E9	-1.35923491263015039E2
4.40000000000000036E0	2.54000000000000004E9	-1.37192734992193888E2
4.40000000000000036E0	2.54999999999999982E9	-1.38224210107266043E2
4.40000000000000036E0	2.56000000000000005E9	-1.39077748021831016E2
4.40000000000000036E0	2.56999999999999984E9	-1.39793828077858451E2
4.40000000000000036E0	2.58000000000000007E9	-1.40401959522173003E2
4.40000000000000036E0	2.58999999999999986E9	-1.40924497008587224E2
4.40000000000000036E0	2.60000000000000009E9	-1.41378719978263190E2
4.40000000000000036E0	2.61000000000000032E9	-1.41778136085056050E2
4.40000000000000036E0	2.62000000000000011E9	-1.42133378775251873E2
4.40000000000000036E0	2.62999999999999989E9	-1.42452860103151502E2
4.40000000000000036E0	2.63999999999999968E9	-1.42743260799514471E2
4.40000000000000036E0	2.64999999999999991E9	-1.43009904424159595E2
4.40000000000000036E0	2.66000000000000014E9	-1.43257046149278344E2
4.40000000000000036E0	2.66999999999999993E9	-1.43488096968352652E2
4.40000000000000036E0	2.68000000000000016E9	-1.43705798772832094E2
4.40000000000000036E0	2.68999999999999995E9	-1.43912361136171940E2
4.40000000000000036E0	2.70000000000000018E9	-1.44109569103979984E2

var_c	indep(index, 1)	plot_vs(pnmx, noisefreq)[3, ::]
5.50000000000000000E0	2.29999999999999982E9	-1.43262993527334537E2
5.50000000000000000E0	2.31000000000000005E9	-1.43039881768513877E2
5.50000000000000000E0	2.31999999999999984E9	-1.42800473224477664E2
5.50000000000000000E0	2.33000000000000007E9	-1.42541137439537624E2
5.50000000000000000E0	2.33999999999999986E9	-1.42257274144172685E2
5.50000000000000000E0	2.35000000000000009E9	-1.41943025597419670E2
5.50000000000000000E0	2.36000000000000032E9	-1.41590891672137076E2
5.50000000000000000E0	2.37000000000000011E9	-1.41191209730548595E2
5.50000000000000000E0	2.37999999999999989E9	-1.40731442240967408E2
5.50000000000000000E0	2.38999999999999968E9	-1.40195182575152688E2
5.50000000000000000E0	2.39999999999999991E9	-1.39560729220091018E2
5.50000000000000000E0	2.41000000000000014E9	-1.38798958584269716E2
5.50000000000000000E0	2.41999999999999993E9	-1.37869945755303713E2
5.50000000000000000E0	2.43000000000000016E9	-1.36717073156603286E2
5.50000000000000000E0	2.43999999999999995E9	-1.35255255701711796E2
5.50000000000000000E0	2.45000000000000018E9	-1.33342977041286526E2
5.50000000000000000E0	2.45999999999999996E9	-1.30707520451765014E2
5.50000000000000000E0	2.46999999999999975E9	-1.26857321861993744E2
5.50000000000000000E0	2.47999999999999998E9	-1.17995424624459244E2
5.50000000000000000E0	2.48999999999999977E9	-1.27364740081193606E2
5.50000000000000000E0	2.50000000000000000E9	-1.31172503997652368E2
5.50000000000000000E0	2.51000000000000023E9	-1.33766504936997821E2
5.50000000000000000E0	2.52000000000000002E9	-1.35658826431936941E2
5.50000000000000000E0	2.53000000000000025E9	-1.37110621067166050E2
5.50000000000000000E0	2.54000000000000004E9	-1.38257703758389461E2
5.50000000000000000E0	2.54999999999999982E9	-1.39182466469108479E2
5.50000000000000000E0	2.56000000000000005E9	-1.39940280519775762E2
5.50000000000000000E0	2.56999999999999984E9	-1.40570570501490488E2
5.50000000000000000E0	2.58000000000000007E9	-1.41102340208130217E2
5.50000000000000000E0	2.58999999999999986E9	-1.41557350646843672E2
5.50000000000000000E0	2.60000000000000009E9	-1.41952137690157265E2
5.50000000000000000E0	2.61000000000000032E9	-1.42299381008070003E2
5.50000000000000000E0	2.62000000000000011E9	-1.42608872353523952E2
5.50000000000000000E0	2.62999999999999989E9	-1.42888218152073798E2
