	HB.var_c
0	1.10000000000000009E0
1	2.10000000000000009E0
2	3.10000000000000009E0
3	4.09999999999999964E0
4	5.09999999999999964E0
5	6.09999999999999964E0
6	7.09999999999999964E0
7	8.09999999999999964E0
8	9.09999999999999964E0
9	1.01000000000000001E1
10	1.10999999999999988E1
11	1.20999999999999996E1
12	1.31000000000000005E1
13	1.40999999999999992E1
14	1.51000000000000001E1
15	1.61000000000000010E1
16	1.71000000000000019E1
17	1.81000000000000005E1
18	1.91000000000000014E1
19	2.01000000000000023E1
20	2.11000000000000032E1
21	2.20999999999999996E1
22	2.21999999999999975E1


var_c	harmindex	freq[0, ::]
6.09999999999999964E0	4	9.98912980912921711E9
6.09999999999999964E0	5	1.24864122614115214E10
6.09999999999999964E0	6	1.49836947136938248E10
6.09999999999999964E0	7	1.74809771659761282E10
6.09999999999999964E0	8	1.99782596182584338E10
6.09999999999999964E0	9	2.24755420705407349E10
6.09999999999999964E0	10	2.49728245228230428E10

var_c	harmindex	freq[6, ::]
7.09999999999999964E0	0	0.00000000000000000E0
7.09999999999999964E0	1	2.49096303108211448E9
7.09999999999999964E0	2	4.98192606216422895E9
7.09999999999999964E0	3	7.47288909324634254E9
7.09999999999999964E0	4	9.96385212432845790E9
7.09999999999999964E0	5	1.24548151554105724E10
7.09999999999999964E0	6	1.49457781864926842E10
7.09999999999999964E0	7	1.74367412175747960E10
7.09999999999999964E0	8	1.99277042486569167E10
7.09999999999999964E0	9	2.24186672797390285E10
7.09999999999999964E0	10	2.49096303108211448E10

var_c	harmindex	freq[7, ::]
8.09999999999999964E0	0	0.00000000000000000E0
8.09999999999999964E0	1	2.48612048800241814E9
8.09999999999999964E0	2	4.97224097600483628E9
8.09999999999999964E0	3	7.45836146400725397E9
8.09999999999999964E0	4	9.94448195200967255E9
8.09999999999999964E0	5	1.24306024400120885E10
8.09999999999999964E0	6	1.49167229280145075E10
8.09999999999999964E0	7	1.74028434160169176E10
8.09999999999999964E0	8	1.98889639040193456E10
8.09999999999999964E0	9	2.23750843920217601E10
8.09999999999999964E0	10	2.48612048800241769E10

var_c	harmindex	freq[8, ::]
9.09999999999999964E0	0	0.00000000000000000E0
9.09999999999999964E0	1	2.48229132461973379E9
9.09999999999999964E0	2	4.96458264923946757E9
9.09999999999999964E0	3	7.44687397385920047E9
9.09999999999999964E0	4	9.92916529847893514E9
9.09999999999999964E0	5	1.24114566230986689E10
9.09999999999999964E0	6	1.48937479477184009E10
9.09999999999999964E0	7	1.73760392723381374E10
9.09999999999999964E0	8	1.98583305969578694E10
9.09999999999999964E0	9	2.23406219215775925E10
9.09999999999999964E0	10	2.48229132461973379E10

var_c	harmindex	freq[9, ::]
1.01000000000000001E1	0	0.00000000000000000E0
1.01000000000000001E1	1	2.47918759966017088E9
1.01000000000000001E1	2	4.95837519932034176E9
1.01000000000000001E1	3	7.43756279898051087E9
1.01000000000000001E1	4	9.91675039864068353E9
1.01000000000000001E1	5	1.23959379983008544E10
1.01000000000000001E1	6	1.48751255979610209E10
1.01000000000000001E1	7	1.73543131976211962E10
